年,生产厂家,新编码,新名称,新规格型号,客户名称,销售数量,销售含税总价,采购含税总价,采购含税单价,销售含税单价,返利金额,总毛利,大类,地区,毛利率
2018年,乐普(北京)医疗器械股份有限公司,14009539,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2715,曲靖市第二人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009543,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2729,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,昆明医科大学第二附属医院,1,7351,4462,4462,7351,,2889,支架,云南,39.30%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009547,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3012,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009548,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3015,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009553,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3029,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009553,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3029,云南省第一人民医院,1,15187.67,4462,4462,15187.67,,10725.67,支架,云南,70.62%
2018年,乐普(北京)医疗器械股份有限公司,14009555,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3036,曲靖市第二人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009558,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3518,昆明医科大学第二附属医院,1,7351,4462,4462,7351,,2889,支架,云南,39.30%
2018年,乐普(北京)医疗器械股份有限公司,14009564,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3536,昆明医科大学第二附属医院,1,7351,4462,4462,7351,,2889,支架,云南,39.30%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,昆明医科大学第二附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,昆明医科大学第一附属医院呈贡医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009575,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2524,云南省第一人民医院,2,23215.34,8924,4462,11607.67,,14291.34,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009578,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2536,云南省第一人民医院,2,23215.34,8924,4462,11607.67,,14291.34,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009558,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3518,昆明医科大学第二附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,雅培心血管Abbott Vascular,10057086,药物洗脱冠脉支架系统,1011709-18,昆明医科大学第二附属医院,2,21776.5,21671.52,10835.76,10888.25,1633.25,1738.23,支架,云南,7.98%
2018年,雅培心血管Abbott Vascular,10057086,药物洗脱冠脉支架系统,1011709-18,文山市人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10057086,药物洗脱冠脉支架系统,1011709-18,云南省第三人民医院,1,10800,10835.76,10835.76,10800,810.01,774.25,支架,云南,7.17%
2018年,雅培心血管Abbott Vascular,10057086,药物洗脱冠脉支架系统,1011709-18,云南省第一人民医院,13,261507.38,140864.88,10835.76,20115.95,19613.24,140255.74,支架,云南,53.63%
2018年,雅培心血管Abbott Vascular,10057091,药物洗脱冠脉支架系统,1011708-33,昆明市第一人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10057091,药物洗脱冠脉支架系统,1011708-33,云南省第一人民医院,12,234167.97,130029.12,10835.76,19514,17562.76,121701.61,支架,云南,51.97%
2018年,雅培心血管Abbott Vascular,10057094,药物洗脱冠脉支架系统,1011710-28,云南省第一人民医院,10,198576.7,108357.6,10835.76,19857.67,14893.39,105112.49,支架,云南,52.93%
2018年,雅培心血管Abbott Vascular,10057095,药物洗脱冠脉支架系统,1011711-12,云南省第一人民医院,1,23215.34,9430.65,9430.651429,23215.34,1741.17,15525.86,支架,云南,66.88%
2018年,雅培心血管Abbott Vascular,10057096,药物洗脱冠脉支架系统,1011707-33,云南省第一人民医院,9,148007.14,97521.84,10835.76,16445.24,11100.64,61585.94,支架,云南,41.61%
2018年,乐普(北京)医疗器械股份有限公司,10344247,钴基合金雷帕霉素洗脱支架系统,LPRPC3515,云南省第一人民医院,1,11607.67,2778,2778,11607.67,,8829.67,支架,云南,76.07%
2018年,雅培心血管Abbott Vascular,10351087,药物洗脱冠脉支架系统,1011711-23,昆明市第一人民医院,1,13800,10425.94,10425.93667,13800,1035.01,4409.07,支架,云南,31.95%
2018年,雅培心血管Abbott Vascular,10351087,药物洗脱冠脉支架系统,1011711-23,云南省第一人民医院,3,37016.34,31277.81,10425.93667,12338.78,2776.25,8514.78,支架,云南,23.00%
2018年,雅培心血管Abbott Vascular,10351093,药物洗脱冠脉支架系统,1011706-18,昆明市第一人民医院,4,57900,44045.59,11011.39857,14475,4342.54,18196.95,支架,云南,31.43%
2018年,雅培心血管Abbott Vascular,10351093,药物洗脱冠脉支架系统,1011706-18,云南省第三人民医院,1,13800,11011.4,11011.39857,13800,1035.01,3823.61,支架,云南,27.71%
2018年,雅培心血管Abbott Vascular,10351093,药物洗脱冠脉支架系统,1011706-18,云南省第一人民医院,11,180130.15,121125.38,11011.39857,16375.47,13509.89,72514.65,支架,云南,40.26%
2018年,雅培心血管Abbott Vascular,10351094,药物洗脱冠脉支架系统,1011706-23,昆明市第一人民医院,1,7582,10835.76,10835.76,7582,568.66,-2685.1,支架,云南,-35.41%
2018年,雅培心血管Abbott Vascular,10351094,药物洗脱冠脉支架系统,1011706-23,云南省第三人民医院,3,38400,32507.28,10835.76,12800,2880.03,8772.75,支架,云南,22.85%
2018年,雅培心血管Abbott Vascular,10351094,药物洗脱冠脉支架系统,1011706-23,云南省第一人民医院,9,175361.36,97521.84,10835.76,19484.6,13152.23,90991.75,支架,云南,51.89%
2018年,雅培心血管Abbott Vascular,10351095,药物洗脱冠脉支架系统,1011706-28,昆明市第一人民医院,5,77100,55502.28,11100.45622,15420,5782.55,27380.27,支架,云南,35.51%
2018年,雅培心血管Abbott Vascular,10351095,药物洗脱冠脉支架系统,1011706-28,云南省第三人民医院,1,12360.53,11100.46,11100.45622,12360.53,927.05,2187.12,支架,云南,17.69%
2018年,雅培心血管Abbott Vascular,10351095,药物洗脱冠脉支架系统,1011706-28,云南省第一人民医院,15,237715.34,166506.84,11100.45622,15847.69,17828.82,89037.31,支架,云南,37.46%
2018年,雅培心血管Abbott Vascular,10351096,药物洗脱冠脉支架系统,1011707-38,云南省第一人民医院,17,280442.48,186562.96,10974.29183,16496.62,21033.38,114912.9,支架,云南,40.98%
2018年,雅培心血管Abbott Vascular,10351097,药物洗脱冠脉支架系统,1011709-33,昆明市第一人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351097,药物洗脱冠脉支架系统,1011709-33,曲靖市第二人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351097,药物洗脱冠脉支架系统,1011709-33,曲靖市第一人民医院,2,27600,21671.52,10835.76,13800,2070.02,7998.5,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351097,药物洗脱冠脉支架系统,1011709-33,云南省第一人民医院,10,180253.69,108357.6,10835.76,18025.37,13519.15,85415.24,支架,云南,47.39%
2018年,雅培心血管Abbott Vascular,10351098,药物洗脱冠脉支架系统,1011709-38,昆明市第一人民医院,1,16500,10835.63,10835.62792,16500,1237.51,6901.88,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351098,药物洗脱冠脉支架系统,1011709-38,云南省第一人民医院,25,455122.73,270890.7,10835.62792,18204.91,34134.52,218366.56,支架,云南,47.98%
2018年,雅培心血管Abbott Vascular,10351099,药物洗脱冠脉支架系统,1011710-33,曲靖市第二人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351099,药物洗脱冠脉支架系统,1011710-33,云南省第一人民医院,4,72715.34,43343.04,10835.76,18178.84,5453.7,34826,支架,云南,47.89%
2018年,雅培心血管Abbott Vascular,10351100,药物洗脱冠脉支架系统,1011710-38,曲靖市第二人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351100,药物洗脱冠脉支架系统,1011710-38,云南省第一人民医院,14,254311.36,151700.64,10835.76,18165.1,19073.53,121684.25,支架,云南,47.85%
2018年,雅培心血管Abbott Vascular,10351101,药物洗脱冠脉支架系统,1011711-33,云南省第一人民医院,2,33000,20636.18,10318.08842,16500,2475.02,14838.85,支架,云南,44.97%
2018年,雅培心血管Abbott Vascular,10351104,药物洗脱冠脉支架系统,1011707-12,云南省第一人民医院,3,60230.68,32507.28,10835.76,20076.89,4517.34,32240.74,支架,云南,53.53%
2018年,雅培心血管Abbott Vascular,10351106,药物洗脱冠脉支架系统,1011707-18,曲靖市第一人民医院,1,13800,11049.58,11049.58087,13800,1035.01,3785.43,支架,云南,27.43%
2018年,雅培心血管Abbott Vascular,10351106,药物洗脱冠脉支架系统,1011707-18,云南省第三人民医院,1,16800,11049.58,11049.58087,16800,1260.01,7010.43,支架,云南,41.73%
2018年,雅培心血管Abbott Vascular,10351106,药物洗脱冠脉支架系统,1011707-18,云南省第一人民医院,8,136015.34,88396.65,11049.58087,17001.92,10201.25,57819.94,支架,云南,42.51%
2018年,雅培心血管Abbott Vascular,10351107,药物洗脱冠脉支架系统,1011707-23,昆明医科大学第二附属医院,1,16500,11187.04,11187.03714,16500,1237.51,6550.47,支架,云南,39.70%
2018年,雅培心血管Abbott Vascular,10351107,药物洗脱冠脉支架系统,1011707-23,曲靖市第一人民医院,1,13800,11187.04,11187.03714,13800,1035.01,3647.97,支架,云南,26.43%
2018年,雅培心血管Abbott Vascular,10351107,药物洗脱冠脉支架系统,1011707-23,云南省第三人民医院,1,13800,11187.04,11187.03714,13800,1035.01,3647.97,支架,云南,26.43%
2018年,雅培心血管Abbott Vascular,10351107,药物洗脱冠脉支架系统,1011707-23,云南省第一人民医院,3,60230.68,33561.11,11187.03714,20076.89,4517.34,31186.91,支架,云南,51.78%
2018年,雅培心血管Abbott Vascular,10351108,药物洗脱冠脉支架系统,1011707-28,昆明医科大学第二附属医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351108,药物洗脱冠脉支架系统,1011707-28,云南省第三人民医院,2,27600,21671.52,10835.76,13800,2070.02,7998.5,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351108,药物洗脱冠脉支架系统,1011707-28,云南省第一人民医院,8,133823.01,86686.08,10835.76,16727.88,10036.82,57173.75,支架,云南,42.72%
2018年,雅培心血管Abbott Vascular,10351110,药物洗脱冠脉支架系统,1011708-12,云南省第一人民医院,4,72715.34,43343.04,10835.76,18178.84,5453.7,34826,支架,云南,47.89%
2018年,雅培心血管Abbott Vascular,10351112,药物洗脱冠脉支架系统,1011708-18,云南省第三人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351112,药物洗脱冠脉支架系统,1011708-18,云南省第一人民医院,12,196690.68,130029.12,10835.76,16390.89,14751.94,81413.5,支架,云南,41.39%
2018年,雅培心血管Abbott Vascular,10351113,药物洗脱冠脉支架系统,1011708-23,云南省第三人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351113,药物洗脱冠脉支架系统,1011708-23,云南省第一人民医院,14,256872.63,151700.64,10835.76,18348.05,19265.63,124437.62,支架,云南,48.44%
2018年,雅培心血管Abbott Vascular,10351114,药物洗脱冠脉支架系统,1011708-28,云南省第一人民医院,6,99819.47,65014.56,10835.76,16636.58,7486.53,42291.44,支架,云南,42.37%
2018年,雅培心血管Abbott Vascular,10351116,药物洗脱冠脉支架系统,1011709-12,昆明医科大学第二附属医院,1,15060,10835.76,10835.76,15060,1129.51,5353.75,支架,云南,35.55%
2018年,雅培心血管Abbott Vascular,10351116,药物洗脱冠脉支架系统,1011709-12,云南省第一人民医院,2,33000,21671.52,10835.76,16500,2475.02,13803.5,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351118,药物洗脱冠脉支架系统,1011709-23,曲靖市第一人民医院,2,27600,22171.17,11085.58581,13800,2070.02,7498.85,支架,云南,27.17%
2018年,雅培心血管Abbott Vascular,10351118,药物洗脱冠脉支架系统,1011709-23,云南省第三人民医院,1,16800,11085.59,11085.58581,16800,1260.01,6974.43,支架,云南,41.51%
2018年,雅培心血管Abbott Vascular,10351118,药物洗脱冠脉支架系统,1011709-23,云南省第一人民医院,13,260195.05,144112.62,11085.58581,20015,19514.81,135597.25,支架,云南,52.11%
2018年,雅培心血管Abbott Vascular,10351119,药物洗脱冠脉支架系统,1011709-28,昆明医科大学第二附属医院,2,33000,21671.52,10835.76,16500,2475.02,13803.5,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10351119,药物洗脱冠脉支架系统,1011709-28,云南省第一人民医院,7,112430.68,75850.32,10835.76,16061.53,8432.38,45012.74,支架,云南,40.04%
2018年,雅培心血管Abbott Vascular,10351121,药物洗脱冠脉支架系统,1011710-12,曲靖市第二人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351121,药物洗脱冠脉支架系统,1011710-12,云南省第一人民医院,4,70015.34,43343.04,10835.76,17503.84,5251.2,31923.5,支架,云南,45.60%
2018年,雅培心血管Abbott Vascular,10351123,药物洗脱冠脉支架系统,1011710-18,昆明市第一人民医院,1,13800,10835.76,10835.76,13800,1035.01,3999.25,支架,云南,28.98%
2018年,雅培心血管Abbott Vascular,10351123,药物洗脱冠脉支架系统,1011710-18,昆明医科大学第二附属医院,1,16840,10835.76,10835.76,16840,1263.01,7267.25,支架,云南,43.15%
2018年,雅培心血管Abbott Vascular,10351123,药物洗脱冠脉支架系统,1011710-18,云南省第一人民医院,11,202956.7,119193.36,10835.76,18450.61,15221.9,98985.24,支架,云南,48.77%
2018年,雅培心血管Abbott Vascular,10351124,药物洗脱冠脉支架系统,1011710-23,昆明市第一人民医院,1,13800,11024.91,11024.90923,13800,1035.01,3810.1,支架,云南,27.61%
2018年,雅培心血管Abbott Vascular,10351124,药物洗脱冠脉支架系统,1011710-23,昆明医科大学第二附属医院,2,33000,22049.82,11024.90923,16500,2475.02,13425.2,支架,云南,40.68%
2018年,雅培心血管Abbott Vascular,10351124,药物洗脱冠脉支架系统,1011710-23,曲靖市第二人民医院,2,27600,22049.82,11024.90923,13800,2070.02,7620.2,支架,云南,27.61%
2018年,雅培心血管Abbott Vascular,10351124,药物洗脱冠脉支架系统,1011710-23,云南省第一人民医院,10,170403.01,110249.09,11024.90923,17040.3,12780.35,72934.26,支架,云南,42.80%
2018年,雅培心血管Abbott Vascular,10351127,药物洗脱冠脉支架系统,#REF!,云南省第一人民医院,1,16500,10016.11,10016.11333,16500,1237.51,7721.4,支架,云南,46.80%
2018年,雅培心血管Abbott Vascular,10351128,药物洗脱冠脉支架系统,1011711-28,云南省第一人民医院,2,33000,18989.85,9494.922857,16500,2475.02,16485.18,支架,云南,49.96%
2018年,雅培心血管Abbott Vascular,10659010,药物洗脱冠脉支架系统,1070250-28,云南省第一人民医院,1,23215.34,10835.76,10835.76,23215.34,1741.17,14120.75,支架,云南,60.83%
2018年,雅培心血管Abbott Vascular,10659018,药物洗脱冠脉支架系统,1070300-18,云南省第一人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10659043,药物洗脱冠脉支架系统,1070350-28,云南省第一人民医院,1,23215.34,10835.76,10835.76,23215.34,1741.17,14120.75,支架,云南,60.83%
2018年,雅培心血管Abbott Vascular,10659111,药物洗脱冠脉支架系统,1070275-33,云南省第一人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10659170,药物洗脱冠脉支架系统,1070275-28,云南省第一人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,10665344,药物洗脱冠脉支架系统,1070350-38,大理大学第一附属医院,1,15800,10835.76,10835.76,15800,1185.01,6149.25,支架,云南,38.92%
2018年,雅培心血管Abbott Vascular,11794549,药物洗脱冠脉支架系统,1011708-38,文山市人民医院,1,16500,10835.76,10835.76,16500,1237.51,6901.75,支架,云南,41.83%
2018年,雅培心血管Abbott Vascular,11794549,药物洗脱冠脉支架系统,1011708-38,云南省第一人民医院,24,421491.51,260058.24,10835.76,17562.15,31612.16,193045.43,支架,云南,45.80%
2018年,乐普(北京)医疗器械股份有限公司,12903359,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2512,昆明市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,12903359,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2512,昆明医科大学第二附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,12903359,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2512,昆明医科大学第一附属医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,12903359,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2512,昆明医科大学第一附属医院呈贡医院,5,57953.76,22310,4462,11590.75,,35643.76,支架,云南,61.50%
2018年,乐普(北京)医疗器械股份有限公司,12903359,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2512,曲靖市第一人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,12903359,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2512,云南省第一人民医院,7,81253.69,31234,4462,11607.67,,50019.69,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009538,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2712,昆明医科大学第二附属医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009538,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2712,昆明医科大学第一附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009538,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2712,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009538,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2712,曲靖市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009538,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2712,云南省第一人民医院,4,46430.68,17848,4462,11607.67,,28582.68,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009539,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2715,昆明市第一人民医院,2,23110,8924,4462,11555,,14186,支架,云南,61.38%
2018年,乐普(北京)医疗器械股份有限公司,14009539,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2715,昆明医科大学第二附属医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009539,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2715,昆明医科大学第一附属医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009539,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2715,曲靖市第二人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009539,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2715,曲靖市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009539,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2715,云南省第一人民医院,7,84833.69,31234,4462,12119.1,,53599.69,支架,云南,63.18%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,昆明市第一人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,昆明医科大学第二附属医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,昆明医科大学第一附属医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,昆明医科大学第一附属医院呈贡医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,曲靖市第二人民医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,曲靖市第一人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,文山市人民医院,2,23226.88,8924,4462,11613.44,,14302.88,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009540,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2718,云南省第一人民医院,9,104469.03,40158,4462,11607.67,,64311.03,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009541,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2721,昆明市第一人民医院,3,34610,13386,4462,11536.67,,21224,支架,云南,61.32%
2018年,乐普(北京)医疗器械股份有限公司,14009542,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2724,昆明市第一人民医院,3,34720,13386,4462,11573.33,,21334,支架,云南,61.45%
2018年,乐普(北京)医疗器械股份有限公司,14009542,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2724,昆明医科大学第二附属医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009542,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2724,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009542,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2724,曲靖市第二人民医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009542,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2724,曲靖市第一人民医院,8,92000,35696,4462,11500,,56304,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009542,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2724,云南省第一人民医院,22,262468.21,98164,4462,11930.37,,164304.21,支架,云南,62.60%
2018年,乐普(北京)医疗器械股份有限公司,14009543,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2729,昆明市第一人民医院,8,92220,35696,4462,11527.5,,56524,支架,云南,61.29%
2018年,乐普(北京)医疗器械股份有限公司,14009543,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2729,昆明医科大学第二附属医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
